Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot00
Operator	Angus+Samantha
Date	2/5/2024
Time	15:26
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	29
dt	50.000001E-12
time stamp (ms)	3:56:41 PM
	
Time	Amplitude
0.000000E+0	-7.382702E-4
5.000000E-11	-8.153529E-4
1.000000E-10	-8.770191E-4
1.500000E-10	-9.181299E-4
2.000000E-10	-9.438242E-4
2.500000E-10	-9.643796E-4
3.000000E-10	-9.695184E-4
3.500000E-10	-9.403983E-4
4.000000E-10	-8.872968E-4
4.500000E-10	-8.239177E-4
5.000000E-10	-7.485479E-4
5.500000E-10	-6.697522E-4
6.000000E-10	-6.132248E-4
6.500000E-10	-5.738270E-4
7.000000E-10	-5.412809E-4
7.500000E-10	-5.172996E-4
8.000000E-10	-5.172996E-4
8.500000E-10	-5.395680E-4
9.000000E-10	-5.875306E-4
9.500000E-10	-6.372061E-4
1.000000E-9	-6.594745E-4
1.050000E-9	-6.629004E-4
1.100000E-9	-6.594745E-4
1.150000E-9	-6.440579E-4
1.200000E-9	-6.200766E-4
1.250000E-9	-6.080860E-4
1.300000E-9	-6.012342E-4
1.350000E-9	-5.841047E-4
1.400000E-9	-5.772529E-4
1.450000E-9	-5.909565E-4
1.500000E-9	-6.115119E-4
1.550000E-9	-6.269284E-4
1.600000E-9	-6.491968E-4
1.650000E-9	-6.714651E-4
1.700000E-9	-6.937335E-4
1.750000E-9	-7.057241E-4
1.800000E-9	-7.074371E-4
1.850000E-9	-6.954464E-4
1.900000E-9	-6.800299E-4
1.950000E-9	-6.766040E-4
2.000000E-9	-6.783169E-4
2.050000E-9	-6.834558E-4
2.100000E-9	-6.920205E-4
2.150000E-9	-7.057241E-4
2.200000E-9	-7.262795E-4
2.250000E-9	-7.622515E-4
2.300000E-9	-8.033623E-4
2.350000E-9	-8.496119E-4
2.400000E-9	-8.924357E-4
2.450000E-9	-9.164170E-4
2.500000E-9	-9.164170E-4
2.550000E-9	-8.838709E-4
2.600000E-9	-8.102141E-4
2.650000E-9	-7.108630E-4
2.700000E-9	-6.063730E-4
2.750000E-9	-5.070219E-4
2.800000E-9	-4.093838E-4
2.850000E-9	-3.340140E-4
2.900000E-9	-2.826255E-4
2.950000E-9	-2.552183E-4
3.000000E-9	-2.740607E-4
3.050000E-9	-3.614212E-4
3.100000E-9	-5.035960E-4
3.150000E-9	-6.526227E-4
3.200000E-9	-7.879457E-4
3.250000E-9	-9.095652E-4
3.300000E-9	-1.008916E-3
3.350000E-9	-1.068870E-3
3.400000E-9	-1.085999E-3
3.450000E-9	-1.084286E-3
3.500000E-9	-1.060305E-3
3.550000E-9	-9.883609E-4
3.600000E-9	-8.753062E-4
3.650000E-9	-7.588256E-4
3.700000E-9	-6.714651E-4
3.750000E-9	-6.080860E-4
3.800000E-9	-5.772529E-4
3.850000E-9	-6.046601E-4
3.900000E-9	-6.491968E-4
3.950000E-9	-6.731781E-4
4.000000E-9	-6.971594E-4
4.050000E-9	-7.571126E-4
4.100000E-9	-8.341954E-4
4.150000E-9	-9.095652E-4
4.200000E-9	-9.746573E-4
4.250000E-9	-1.005490E-3
4.300000E-9	-9.900738E-4
4.350000E-9	-9.369724E-4
4.400000E-9	-8.513249E-4
4.450000E-9	-7.468349E-4
4.500000E-9	-6.423450E-4
4.550000E-9	-5.361421E-4
4.600000E-9	-4.333651E-4
4.650000E-9	-3.699859E-4
4.700000E-9	-3.579953E-4
4.750000E-9	-3.836895E-4
4.800000E-9	-4.539205E-4
4.850000E-9	-5.669752E-4
4.900000E-9	-6.697522E-4
4.950000E-9	-7.434090E-4
5.000000E-9	-8.324824E-4
5.050000E-9	-9.472501E-4
5.100000E-9	-1.048314E-3
5.150000E-9	-1.121971E-3
5.200000E-9	-1.190489E-3
5.250000E-9	-1.243590E-3
5.300000E-9	-1.255581E-3
5.350000E-9	-1.233313E-3
5.400000E-9	-1.195628E-3
5.450000E-9	-1.133962E-3
5.500000E-9	-1.048314E-3
5.550000E-9	-9.660925E-4
5.600000E-9	-9.078522E-4
5.650000E-9	-8.650285E-4
5.700000E-9	-8.222047E-4
5.750000E-9	-7.588256E-4
5.800000E-9	-6.697522E-4
5.850000E-9	-5.618363E-4
5.900000E-9	-4.607723E-4
5.950000E-9	-3.802636E-4
6.000000E-9	-3.203104E-4
6.050000E-9	-2.877643E-4
6.100000E-9	-2.877643E-4
6.150000E-9	-3.048938E-4
6.200000E-9	-3.357269E-4
6.250000E-9	-3.819766E-4
6.300000E-9	-4.436428E-4
6.350000E-9	-5.155867E-4
6.400000E-9	-5.926694E-4
6.450000E-9	-6.663263E-4
6.500000E-9	-7.468349E-4
6.550000E-9	-8.256306E-4
6.600000E-9	-8.667414E-4
6.650000E-9	-8.735932E-4
6.700000E-9	-8.718803E-4
6.750000E-9	-8.427601E-4
6.800000E-9	-7.810939E-4
6.850000E-9	-7.091500E-4
6.900000E-9	-6.509097E-4
6.950000E-9	-5.841047E-4
7.000000E-9	-5.001701E-4
7.050000E-9	-4.316521E-4
7.100000E-9	-3.939672E-4
7.150000E-9	-3.802636E-4
7.200000E-9	-3.854025E-4
7.250000E-9	-4.162356E-4
7.300000E-9	-4.727629E-4
7.350000E-9	-5.429939E-4
7.400000E-9	-6.217896E-4
7.450000E-9	-7.074371E-4
7.500000E-9	-7.725292E-4
7.550000E-9	-8.187788E-4
7.600000E-9	-8.735932E-4
7.650000E-9	-9.284076E-4
7.700000E-9	-9.506760E-4
7.750000E-9	-9.266947E-4
7.800000E-9	-8.735932E-4
7.850000E-9	-8.033623E-4
7.900000E-9	-7.194277E-4
7.950000E-9	-6.303543E-4
8.000000E-9	-5.344291E-4
8.050000E-9	-4.350780E-4
8.100000E-9	-3.631341E-4
8.150000E-9	-3.237363E-4
8.200000E-9	-2.946161E-4
8.250000E-9	-2.877643E-4
8.300000E-9	-3.254492E-4
8.350000E-9	-3.922543E-4
8.400000E-9	-4.676241E-4
8.450000E-9	-5.704011E-4
8.500000E-9	-6.988723E-4
8.550000E-9	-8.307695E-4
8.600000E-9	-9.626666E-4
8.650000E-9	-1.085999E-3
8.700000E-9	-1.161369E-3
8.750000E-9	-1.187063E-3
8.800000E-9	-1.200767E-3
8.850000E-9	-1.195628E-3
8.900000E-9	-1.144239E-3
8.950000E-9	-1.068870E-3
9.000000E-9	-1.003777E-3
9.050000E-9	-9.523889E-4
9.100000E-9	-8.975745E-4
9.150000E-9	-8.530378E-4
9.200000E-9	-8.187788E-4
9.250000E-9	-7.862328E-4
9.300000E-9	-7.519738E-4
9.350000E-9	-7.142889E-4
9.400000E-9	-6.868817E-4
9.450000E-9	-6.851687E-4
9.500000E-9	-6.783169E-4
9.550000E-9	-6.389191E-4
9.600000E-9	-5.978083E-4
9.650000E-9	-5.789658E-4
9.700000E-9	-5.429939E-4
9.750000E-9	-4.813277E-4
9.800000E-9	-4.367910E-4
9.850000E-9	-4.282262E-4
9.900000E-9	-4.213744E-4
9.950000E-9	-3.956802E-4
1.000000E-8	-3.614212E-4
1.005000E-8	-3.220233E-4
1.010000E-8	-2.774866E-4
1.015000E-8	-2.312370E-4
1.020000E-8	-2.004038E-4
1.025000E-8	-2.123945E-4
1.030000E-8	-2.517924E-4
1.035000E-8	-2.723478E-4
1.040000E-8	-2.791996E-4
1.045000E-8	-3.083197E-4
1.050000E-8	-3.408658E-4
1.055000E-8	-3.768377E-4
1.060000E-8	-4.333651E-4
1.065000E-8	-4.967442E-4
1.070000E-8	-5.258644E-4
1.075000E-8	-5.481327E-4
1.080000E-8	-5.806788E-4
1.085000E-8	-5.858176E-4
1.090000E-8	-5.566975E-4
1.095000E-8	-5.361421E-4
1.100000E-8	-5.327162E-4
1.105000E-8	-5.344291E-4
1.110000E-8	-5.412809E-4
1.115000E-8	-5.344291E-4
1.120000E-8	-5.018831E-4
1.125000E-8	-4.916054E-4
1.130000E-8	-5.241514E-4
1.135000E-8	-5.704011E-4
1.140000E-8	-6.183637E-4
1.145000E-8	-6.714651E-4
1.150000E-8	-7.005853E-4
1.155000E-8	-7.125759E-4
1.160000E-8	-7.656774E-4
1.165000E-8	-8.907227E-4
1.170000E-8	-1.070582E-3
1.175000E-8	-1.342942E-3
1.180000E-8	-1.754050E-3
1.185000E-8	-2.322749E-3
1.190000E-8	-3.083299E-3
1.195000E-8	-4.083662E-3
1.200000E-8	-5.320412E-3
1.205000E-8	-6.767854E-3
1.210000E-8	-8.422564E-3
1.215000E-8	-1.024343E-2
1.220000E-8	-1.215851E-2
1.225000E-8	-1.411984E-2
1.230000E-8	-1.607431E-2
1.235000E-8	-1.793800E-2
1.240000E-8	-1.964924E-2
1.245000E-8	-2.117034E-2
1.250000E-8	-2.246190E-2
1.255000E-8	-2.350852E-2
1.260000E-8	-2.431189E-2
1.265000E-8	-2.485661E-2
1.270000E-8	-2.512725E-2
1.275000E-8	-2.514096E-2
1.280000E-8	-2.488915E-2
1.285000E-8	-2.437013E-2
1.290000E-8	-2.363013E-2
1.295000E-8	-2.269658E-2
1.300000E-8	-2.158316E-2
1.305000E-8	-2.033784E-2
1.310000E-8	-1.902059E-2
1.315000E-8	-1.766907E-2
1.320000E-8	-1.632954E-2
1.325000E-8	-1.509279E-2
1.330000E-8	-1.403933E-2
1.335000E-8	-1.320169E-2
1.340000E-8	-1.263300E-2
1.345000E-8	-1.237091E-2
1.350000E-8	-1.239832E-2
1.355000E-8	-1.267753E-2
1.360000E-8	-1.319656E-2
1.365000E-8	-1.393826E-2
1.370000E-8	-1.483242E-2
1.375000E-8	-1.578825E-2
1.380000E-8	-1.674408E-2
1.385000E-8	-1.763824E-2
1.390000E-8	-1.839707E-2
1.395000E-8	-1.897434E-2
1.400000E-8	-1.936831E-2
1.405000E-8	-1.958929E-2
1.410000E-8	-1.962697E-2
1.415000E-8	-1.944368E-2
1.420000E-8	-1.905313E-2
1.425000E-8	-1.849814E-2
1.430000E-8	-1.777356E-2
1.435000E-8	-1.687426E-2
1.440000E-8	-1.586705E-2
1.445000E-8	-1.481872E-2
1.450000E-8	-1.372757E-2
1.455000E-8	-1.261758E-2
1.460000E-8	-1.158467E-2
1.465000E-8	-1.069394E-2
1.470000E-8	-9.967645E-3
1.475000E-8	-9.464038E-3
1.480000E-8	-9.234502E-3
1.485000E-8	-9.275613E-3
1.490000E-8	-9.554824E-3
1.495000E-8	-1.004987E-2
1.500000E-8	-1.072819E-2
1.505000E-8	-1.155555E-2
1.510000E-8	-1.249082E-2
1.515000E-8	-1.345864E-2
1.520000E-8	-1.437678E-2
1.525000E-8	-1.522126E-2
1.530000E-8	-1.595269E-2
1.535000E-8	-1.648713E-2
1.540000E-8	-1.679718E-2
1.545000E-8	-1.689653E-2
1.550000E-8	-1.677320E-2
1.555000E-8	-1.640491E-2
1.560000E-8	-1.580195E-2
1.565000E-8	-1.500714E-2
1.570000E-8	-1.407359E-2
1.575000E-8	-1.303040E-2
1.580000E-8	-1.190670E-2
1.585000E-8	-1.076245E-2
1.590000E-8	-9.671305E-3
1.595000E-8	-8.672655E-3
1.600000E-8	-7.809328E-3
1.605000E-8	-7.154981E-3
1.610000E-8	-6.735308E-3
1.615000E-8	-6.526328E-3
1.620000E-8	-6.526328E-3
1.625000E-8	-6.776419E-3
1.630000E-8	-7.264610E-3
1.635000E-8	-7.918957E-3
1.640000E-8	-8.701775E-3
1.645000E-8	-9.599361E-3
1.650000E-8	-1.055347E-2
1.655000E-8	-1.147675E-2
1.660000E-8	-1.233494E-2
1.665000E-8	-1.308008E-2
1.670000E-8	-1.366077E-2
1.675000E-8	-1.405474E-2
1.680000E-8	-1.422604E-2
1.685000E-8	-1.412155E-2
1.690000E-8	-1.374470E-2
1.695000E-8	-1.315545E-2
1.700000E-8	-1.237091E-2
1.705000E-8	-1.141680E-2
1.710000E-8	-1.035135E-2
1.715000E-8	-9.239641E-3
1.720000E-8	-8.141640E-3
1.725000E-8	-7.115583E-3
1.730000E-8	-6.202581E-3
1.735000E-8	-5.452309E-3
1.740000E-8	-4.943563E-3
1.745000E-8	-4.708888E-3
1.750000E-8	-4.700324E-3
1.755000E-8	-4.890461E-3
1.760000E-8	-5.294717E-3
1.765000E-8	-5.875407E-3
1.770000E-8	-6.574291E-3
1.775000E-8	-7.367387E-3
1.780000E-8	-8.215297E-3
1.785000E-8	-9.054643E-3
1.790000E-8	-9.837461E-3
1.795000E-8	-1.053977E-2
1.800000E-8	-1.114273E-2
1.805000E-8	-1.163263E-2
1.810000E-8	-1.198550E-2
1.815000E-8	-1.216707E-2
1.820000E-8	-1.214309E-2
1.825000E-8	-1.191013E-2
1.830000E-8	-1.146476E-2
1.835000E-8	-1.082069E-2
1.840000E-8	-1.000704E-2
1.845000E-8	-9.083763E-3
1.850000E-8	-8.117659E-3
1.855000E-8	-7.151555E-3
1.860000E-8	-6.209433E-3
1.865000E-8	-5.354671E-3
1.870000E-8	-4.654074E-3
1.875000E-8	-4.119634E-3
1.880000E-8	-3.777044E-3
1.885000E-8	-3.677692E-3
1.890000E-8	-3.823293E-3
1.895000E-8	-4.165883E-3
1.900000E-8	-4.672916E-3
1.905000E-8	-5.323837E-3
1.910000E-8	-6.080961E-3
1.915000E-8	-6.915168E-3
1.920000E-8	-7.793911E-3
1.925000E-8	-8.636683E-3
1.930000E-8	-9.364687E-3
