Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot03
Operator	Angus+Samantha
Date	2/5/2024
Time	16:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	301
dt	50.000001E-12
time stamp (ms)	9:38:55 PM
	
Time	Amplitude
0.000000E+0	2.929179E-4
5.000000E-11	2.980567E-4
1.000000E-10	3.134732E-4
1.500000E-10	3.631485E-4
2.000000E-10	4.076850E-4
2.500000E-10	4.111108E-4
3.000000E-10	4.042588E-4
3.500000E-10	3.991197E-4
4.000000E-10	3.717125E-4
4.500000E-10	3.031946E-4
5.000000E-10	2.381026E-4
5.500000E-10	1.935660E-4
6.000000E-10	1.404648E-4
6.500000E-10	8.222482E-5
7.000000E-10	5.481789E-5
7.500000E-10	6.166991E-5
8.000000E-10	8.736432E-5
8.500000E-10	1.147716E-4
9.000000E-10	1.627343E-4
9.500000E-10	2.261134E-4
1.000000E-9	2.894924E-4
1.050000E-9	3.477326E-4
1.100000E-9	4.179633E-4
1.150000E-9	4.933329E-4
1.200000E-9	5.275918E-4
1.250000E-9	5.395824E-4
1.300000E-9	5.532860E-4
1.350000E-9	5.498601E-4
1.400000E-9	4.864812E-4
1.450000E-9	3.939821E-4
1.500000E-9	3.031960E-4
1.550000E-9	2.124099E-4
1.600000E-9	1.387533E-4
1.650000E-9	1.147722E-4
1.700000E-9	1.199112E-4
1.750000E-9	1.233372E-4
1.800000E-9	1.490315E-4
1.850000E-9	2.038459E-4
1.900000E-9	2.689379E-4
1.950000E-9	3.425947E-4
2.000000E-9	4.076866E-4
2.050000E-9	4.248159E-4
2.100000E-9	4.025474E-4
2.150000E-9	3.802788E-4
2.200000E-9	3.220383E-4
2.250000E-9	1.969929E-4
2.300000E-9	7.194755E-5
2.350000E-9	-3.422383E-6
2.400000E-9	-7.022751E-5
2.450000E-9	-1.473102E-4
2.500000E-9	-1.832821E-4
2.550000E-9	-1.867080E-4
