Study Name	Tungsten_temperature_sweep
Sample Name	2024-05-17
Run Name	450C_spot1
Operator	Angus
Date	5/17/2024
Time	21:47
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	9:47:54 PM
	
Time	Amplitude
0.000000E+0	-2.238828E-3
5.000000E-11	-2.254245E-3
1.000000E-10	-2.243967E-3
1.500000E-10	-2.194292E-3
2.000000E-10	-2.139477E-3
2.500000E-10	-2.089802E-3
3.000000E-10	-2.031561E-3
3.500000E-10	-1.981886E-3
4.000000E-10	-1.949340E-3
4.500000E-10	-1.913368E-3
5.000000E-10	-1.903090E-3
5.500000E-10	-1.899664E-3
6.000000E-10	-1.868831E-3
6.500000E-10	-1.843137E-3
7.000000E-10	-1.872257E-3
7.500000E-10	-1.903090E-3
8.000000E-10	-1.916794E-3
8.500000E-10	-1.964756E-3
9.000000E-10	-2.034987E-3
9.500000E-10	-2.064107E-3
1.000000E-9	-2.067533E-3
1.050000E-9	-2.067533E-3
1.100000E-9	-2.043552E-3
1.150000E-9	-2.011006E-3
1.200000E-9	-2.021284E-3
1.250000E-9	-2.038413E-3
1.300000E-9	-2.038413E-3
1.350000E-9	-2.069246E-3
1.400000E-9	-2.122348E-3
1.450000E-9	-2.166884E-3
1.500000E-9	-2.218273E-3
1.550000E-9	-2.286791E-3
1.600000E-9	-2.333041E-3
1.650000E-9	-2.370725E-3
1.700000E-9	-2.396420E-3
1.750000E-9	-2.399846E-3
1.800000E-9	-2.382716E-3
1.850000E-9	-2.387855E-3
1.900000E-9	-2.410123E-3
1.950000E-9	-2.415262E-3
2.000000E-9	-2.435818E-3
2.050000E-9	-2.487206E-3
2.100000E-9	-2.538595E-3
2.150000E-9	-2.588270E-3
2.200000E-9	-2.656788E-3
2.250000E-9	-2.737297E-3
2.300000E-9	-2.786972E-3
2.350000E-9	-2.802389E-3
2.400000E-9	-2.802389E-3
2.450000E-9	-2.769843E-3
2.500000E-9	-2.709890E-3
2.550000E-9	-2.655075E-3
2.600000E-9	-2.595122E-3
2.650000E-9	-2.504336E-3
2.700000E-9	-2.381003E-3
2.750000E-9	-2.279939E-3
2.800000E-9	-2.235402E-3
2.850000E-9	-2.237115E-3
2.900000E-9	-2.254245E-3
2.950000E-9	-2.254245E-3
3.000000E-9	-2.261097E-3
3.050000E-9	-2.312485E-3
3.100000E-9	-2.398133E-3
3.150000E-9	-2.482067E-3
3.200000E-9	-2.569428E-3
3.250000E-9	-2.670492E-3
3.300000E-9	-2.751000E-3
3.350000E-9	-2.771556E-3
3.400000E-9	-2.730445E-3
3.450000E-9	-2.649936E-3
3.500000E-9	-2.552298E-3
3.550000E-9	-2.420401E-3
3.600000E-9	-2.242254E-3
3.650000E-9	-2.034987E-3
3.700000E-9	-1.855128E-3
3.750000E-9	-1.694110E-3
3.800000E-9	-1.536519E-3
3.850000E-9	-1.404622E-3
3.900000E-9	-1.318974E-3
3.950000E-9	-1.293280E-3
4.000000E-9	-1.337817E-3
4.050000E-9	-1.452584E-3
4.100000E-9	-1.606750E-3
4.150000E-9	-1.778045E-3
4.200000E-9	-1.990451E-3
4.250000E-9	-2.214847E-3
4.300000E-9	-2.392994E-3
4.350000E-9	-2.514613E-3
4.400000E-9	-2.577992E-3
4.450000E-9	-2.579705E-3
4.500000E-9	-2.524891E-3
4.550000E-9	-2.446095E-3
4.600000E-9	-2.324476E-3
4.650000E-9	-2.151468E-3
4.700000E-9	-1.964756E-3
4.750000E-9	-1.796887E-3
4.800000E-9	-1.652999E-3
4.850000E-9	-1.555361E-3
4.900000E-9	-1.533093E-3
4.950000E-9	-1.574204E-3
5.000000E-9	-1.656425E-3
5.050000E-9	-1.771193E-3
5.100000E-9	-1.897951E-3
5.150000E-9	-2.019571E-3
5.200000E-9	-2.141190E-3
5.250000E-9	-2.255958E-3
5.300000E-9	-2.327902E-3
5.350000E-9	-2.358735E-3
5.400000E-9	-2.367300E-3
5.450000E-9	-2.333041E-3
5.500000E-9	-2.247393E-3
5.550000E-9	-2.165171E-3
5.600000E-9	-2.112070E-3
5.650000E-9	-2.084663E-3
5.700000E-9	-2.100079E-3
5.750000E-9	-2.156607E-3
5.800000E-9	-2.202856E-3
5.850000E-9	-2.237115E-3
5.900000E-9	-2.297069E-3
5.950000E-9	-2.374151E-3
6.000000E-9	-2.413549E-3
6.050000E-9	-2.404984E-3
6.100000E-9	-2.362161E-3
6.150000E-9	-2.281652E-3
6.200000E-9	-2.156607E-3
6.250000E-9	-2.017858E-3
6.300000E-9	-1.899664E-3
6.350000E-9	-1.802026E-3
6.400000E-9	-1.728369E-3
6.450000E-9	-1.676981E-3
6.500000E-9	-1.671842E-3
6.550000E-9	-1.699249E-3
6.600000E-9	-1.754063E-3
6.650000E-9	-1.837998E-3
6.700000E-9	-1.937349E-3
6.750000E-9	-2.012719E-3
6.800000E-9	-2.050404E-3
6.850000E-9	-2.094941E-3
6.900000E-9	-2.127487E-3
6.950000E-9	-2.089802E-3
7.000000E-9	-2.012719E-3
7.050000E-9	-1.961330E-3
7.100000E-9	-1.915081E-3
7.150000E-9	-1.832859E-3
7.200000E-9	-1.755776E-3
7.250000E-9	-1.731795E-3
7.300000E-9	-1.745499E-3
7.350000E-9	-1.762628E-3
7.400000E-9	-1.796887E-3
7.450000E-9	-1.853415E-3
7.500000E-9	-1.913368E-3
7.550000E-9	-1.959617E-3
7.600000E-9	-2.007580E-3
7.650000E-9	-2.065820E-3
7.700000E-9	-2.125774E-3
7.750000E-9	-2.170310E-3
7.800000E-9	-2.182301E-3
7.850000E-9	-2.142903E-3
7.900000E-9	-2.050404E-3
7.950000E-9	-1.976747E-3
8.000000E-9	-1.954479E-3
8.050000E-9	-1.897951E-3
8.100000E-9	-1.783184E-3
8.150000E-9	-1.735221E-3
8.200000E-9	-1.778045E-3
8.250000E-9	-1.791748E-3
8.300000E-9	-1.783184E-3
8.350000E-9	-1.839711E-3
8.400000E-9	-1.918507E-3
8.450000E-9	-1.975034E-3
8.500000E-9	-2.058969E-3
8.550000E-9	-2.103505E-3
8.600000E-9	-2.026423E-3
8.650000E-9	-1.976747E-3
8.700000E-9	-2.014432E-3
8.750000E-9	-1.949340E-3
8.800000E-9	-1.793461E-3
8.850000E-9	-1.791748E-3
8.900000E-9	-1.897951E-3
8.950000E-9	-1.897951E-3
9.000000E-9	-1.873970E-3
9.050000E-9	-1.921933E-3
9.100000E-9	-1.918507E-3
9.150000E-9	-1.930497E-3
9.200000E-9	-2.127487E-3
9.250000E-9	-2.341605E-3
9.300000E-9	-2.362161E-3
9.350000E-9	-2.321050E-3
9.400000E-9	-2.321050E-3
9.450000E-9	-2.285078E-3
9.500000E-9	-2.293643E-3
9.550000E-9	-2.428966E-3
9.600000E-9	-2.480354E-3
9.650000E-9	-2.381003E-3
9.700000E-9	-2.379290E-3
9.750000E-9	-2.488919E-3
9.800000E-9	-2.470077E-3
9.850000E-9	-2.382716E-3
9.900000E-9	-2.458086E-3
9.950000E-9	-2.622529E-3
1.000000E-8	-2.696186E-3
1.005000E-8	-2.668779E-3
1.010000E-8	-2.595122E-3
1.015000E-8	-2.579705E-3
1.020000E-8	-2.720167E-3
1.025000E-8	-2.838361E-3
1.030000E-8	-2.706464E-3
1.035000E-8	-2.476928E-3
1.040000E-8	-2.389568E-3
1.045000E-8	-2.370725E-3
1.050000E-8	-2.297069E-3
1.055000E-8	-2.243967E-3
1.060000E-8	-2.194292E-3
1.065000E-8	-2.100079E-3
1.070000E-8	-2.060682E-3
1.075000E-8	-2.084663E-3
1.080000E-8	-2.021284E-3
1.085000E-8	-1.885961E-3
1.090000E-8	-1.860266E-3
1.095000E-8	-1.896238E-3
1.100000E-8	-1.808878E-3
1.105000E-8	-1.663277E-3
1.110000E-8	-1.610176E-3
1.115000E-8	-1.553648E-3
1.120000E-8	-1.385779E-3
1.125000E-8	-1.264160E-3
1.130000E-8	-1.336104E-3
1.135000E-8	-1.454297E-3
1.140000E-8	-1.473140E-3
1.145000E-8	-1.529667E-3
1.150000E-8	-1.760915E-3
1.155000E-8	-2.007580E-3
1.160000E-8	-2.067533E-3
1.165000E-8	-2.038413E-3
1.170000E-8	-2.103505E-3
1.175000E-8	-2.177162E-3
1.180000E-8	-2.105218E-3
1.185000E-8	-1.976747E-3
1.190000E-8	-1.896238E-3
1.195000E-8	-1.778045E-3
1.200000E-8	-1.579343E-3
1.205000E-8	-1.389205E-3
1.210000E-8	-1.180225E-3
1.215000E-8	-8.821719E-4
1.220000E-8	-5.618502E-4
1.225000E-8	-2.603710E-4
1.230000E-8	1.712924E-4
1.235000E-8	8.461947E-4
1.240000E-8	1.735216E-3
1.245000E-8	2.869189E-3
1.250000E-8	4.371446E-3
1.255000E-8	6.344764E-3
1.260000E-8	8.794283E-3
1.265000E-8	1.166861E-2
1.270000E-8	1.499002E-2
1.275000E-8	1.884759E-2
1.280000E-8	2.321047E-2
1.285000E-8	2.787655E-2
1.290000E-8	3.271563E-2
1.295000E-8	3.767119E-2
1.300000E-8	4.252056E-2
1.305000E-8	4.697765E-2
1.310000E-8	5.093457E-2
1.315000E-8	5.432107E-2
1.320000E-8	5.700526E-2
1.325000E-8	5.887752E-2
1.330000E-8	5.994297E-2
1.335000E-8	6.028042E-2
1.340000E-8	5.996695E-2
1.345000E-8	5.909335E-2
1.350000E-8	5.767160E-2
1.355000E-8	5.578222E-2
1.360000E-8	5.357251E-2
1.365000E-8	5.120179E-2
1.370000E-8	4.874713E-2
1.375000E-8	4.631645E-2
1.380000E-8	4.396115E-2
1.385000E-8	4.170862E-2
1.390000E-8	3.965650E-2
1.395000E-8	3.792471E-2
1.400000E-8	3.642245E-2
1.405000E-8	3.513089E-2
1.410000E-8	3.419562E-2
1.415000E-8	3.366460E-2
1.420000E-8	3.336826E-2
1.425000E-8	3.330489E-2
1.430000E-8	3.357724E-2
1.435000E-8	3.411168E-2
1.440000E-8	3.472663E-2
1.445000E-8	3.542380E-2
1.450000E-8	3.619977E-2
1.455000E-8	3.695176E-2
1.460000E-8	3.759754E-2
1.465000E-8	3.813198E-2
1.470000E-8	3.849170E-2
1.475000E-8	3.859961E-2
1.480000E-8	3.839749E-2
1.485000E-8	3.788703E-2
1.490000E-8	3.712648E-2
1.495000E-8	3.616894E-2
1.500000E-8	3.499557E-2
1.505000E-8	3.364062E-2
1.510000E-8	3.218462E-2
1.515000E-8	3.067037E-2
1.520000E-8	2.910644E-2
1.525000E-8	2.760761E-2
1.530000E-8	2.622526E-2
1.535000E-8	2.493884E-2
1.540000E-8	2.381343E-2
1.545000E-8	2.297922E-2
1.550000E-8	2.242423E-2
1.555000E-8	2.208849E-2
1.560000E-8	2.206451E-2
1.565000E-8	2.238312E-2
1.570000E-8	2.293982E-2
1.575000E-8	2.365412E-2
1.580000E-8	2.452088E-2
1.585000E-8	2.547670E-2
1.590000E-8	2.641026E-2
1.595000E-8	2.728729E-2
1.600000E-8	2.810779E-2
1.605000E-8	2.877585E-2
1.610000E-8	2.920580E-2
1.615000E-8	2.939079E-2
1.620000E-8	2.932056E-2
1.625000E-8	2.892658E-2
1.630000E-8	2.823627E-2
1.635000E-8	2.735581E-2
1.640000E-8	2.631947E-2
1.645000E-8	2.508786E-2
1.650000E-8	2.370723E-2
1.655000E-8	2.227006E-2
1.660000E-8	2.081919E-2
1.665000E-8	1.938888E-2
1.670000E-8	1.805107E-2
1.675000E-8	1.689140E-2
1.680000E-8	1.595270E-2
1.685000E-8	1.525553E-2
1.690000E-8	1.481873E-2
1.695000E-8	1.464915E-2
1.700000E-8	1.477248E-2
1.705000E-8	1.516646E-2
1.710000E-8	1.580196E-2
1.715000E-8	1.664816E-2
1.720000E-8	1.765880E-2
1.725000E-8	1.876023E-2
1.730000E-8	1.988221E-2
1.735000E-8	2.096479E-2
1.740000E-8	2.192747E-2
1.745000E-8	2.269830E-2
1.750000E-8	2.323616E-2
1.755000E-8	2.352737E-2
1.760000E-8	2.353422E-2
1.765000E-8	2.321561E-2
1.770000E-8	2.258353E-2
1.775000E-8	2.168937E-2
1.780000E-8	2.056568E-2
1.785000E-8	1.922272E-2
1.790000E-8	1.774102E-2
1.795000E-8	1.625761E-2
1.800000E-8	1.483414E-2
1.805000E-8	1.346207E-2
1.810000E-8	1.220477E-2
1.815000E-8	1.116843E-2
1.820000E-8	1.039247E-2
1.825000E-8	9.870016E-3
1.830000E-8	9.637054E-3
1.835000E-8	9.712424E-3
1.840000E-8	1.006872E-2
1.845000E-8	1.068195E-2
1.850000E-8	1.152301E-2
1.855000E-8	1.252509E-2
1.860000E-8	1.360939E-2
1.865000E-8	1.471938E-2
1.870000E-8	1.580025E-2
1.875000E-8	1.680918E-2
1.880000E-8	1.767079E-2
1.885000E-8	1.830801E-2
